交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),成交金额(元)
"2025-12-25","1405","1419.48","1401.38","1414.17","2338621","3299572096",
"2025-12-24","1404.99","1406.36","1400","1400.9","2518669","3533253565",
"2025-12-23","1408.26","1412.93","1397.19","1407.86","2450681","3445377032",
"2025-12-22","1410","1414.14","1406.58","1408.26","2042565","2881636856",
"2025-12-19","1410","1412.45","1401.01","1410","2650868","3733028357",
"2025-12-18","1433.5","1438.88","1426.11","1431","1782995","2551177659",
"2025-12-17","1425","1439.94","1417.68","1433.1","3138249","4489482138",
"2025-12-16","1426.2","1428.78","1415","1422","2396367","3403139194",
"2025-12-15","1439.59","1439.99","1425.57","1426","3335879","4774362060",
"2025-12-12","1418","1425","1413.57","1420.65","3715919","5273563274",
"2025-12-11","1406.66","1411.99","1401.55","1411.99","2238501","3149974074",
"2025-12-10","1400","1402.8","1383.18","1402.8","3313347","4625906139",
"2025-12-09","1418.23","1421","1400.05","1401.01","4263443","5995722121",
"2025-12-08","1429.2","1436.67","1418","1418.22","3360280","4789155770",
"2025-12-05","1423.98","1433.09","1419.5","1430.01","2540166","3622681597",
"2025-12-04","1429.1","1432.5","1418.38","1423.98","2907539","4134921902",
"2025-12-03","1435.81","1435.97","1428","1429.1","2357279","3370080066",
"2025-12-02","1448","1451.92","1435.02","1436.03","2504726","3607543825",
"2025-12-01","1451","1462.27","1442","1448","2733342","3961994999",
"2025-11-28","1446.5","1455.5","1443","1450.5","2321121","3366696622",
"2025-11-27","1449.5","1450","1439.04","1447.3","2228689","3216797187",
"2025-11-26","1448.88","1453.49","1443.58","1449.15","2030616","2938818095",
"2025-11-25","1458","1458","1444.5","1444.65","2844069","4119930011",
"2025-11-24","1467","1471","1451.13","1452","3360744","4901903705",
"2025-11-21","1470.5","1480","1456","1466.6","4260720","6259873433",
"2025-11-20","1472","1479.9","1465.03","1467.11","2400232","3531653943",
"2025-11-19","1474","1479.53","1469.96","1471.01","2204537","3249449214",
"2025-11-18","1470.7","1486.07","1469","1476","3420478","5055675474",
"2025-11-17","1454","1473","1445.79","1471","3446221","5035780027",
"2025-11-14","1470","1478.95","1456.3","1456.6","2747306","4031007106",
"2025-11-13","1462.12","1473.58","1458","1470.38","3117923","4569178269",
"2025-11-12","1459.98","1478.36","1459.21","1465.15","3299210","4849073051",
"2025-11-11","1462","1462.18","1447","1458.99","2669156","3882776772",
"2025-11-10","1435","1463.69","1434.98","1462.3","4945154","7181246441",
"2025-11-07","1435.11","1439.78","1431.11","1433.33","1886139","2704995856",
"2025-11-06","1430","1441.45","1429.99","1435.13","3834782","5505960415",
"2025-11-05","1425.89","1430.99","1420.01","1420.08","3447527","4908475373",
"2025-11-04","1435.1","1435.78","1423.78","1429","2656572","3793892903",
"2025-11-03","1431","1448","1420.1","1435","3454766","4945310830",
"2025-10-31","1422","1435.98","1420.11","1430.01","3569377","5109623861",
"2025-10-30","1421.81","1436.63","1421.81","1426.74","4745610","6768821311",
"2025-10-29","1440.02","1446.55","1430.04","1431.9","3393711","4868780319",
"2025-10-28","1442","1451.2","1441.1","1445","2712433","3923817140",
"2025-10-27","1440","1452.49","1435.99","1440.41","3710239","5352667152",
"2025-10-24","1467.95","1478.88","1449.34","1450","3822583","5578603148",
"2025-10-23","1455","1468.8","1447.2","1467.98","2932235","4274652090",
"2025-10-22","1462.08","1465.73","1456","1458.7","1819492","2657486636",
"2025-10-21","1459","1469.94","1455.5","1462.26","2544267","3727984130",
"2025-10-20","1455","1469.5","1454.88","1457.93","2594988","3793283759",
"2025-10-17","1483.1","1488","1454.03","1455","3808589","5594724900",
"2025-10-16","1461.92","1484.95","1458.88","1484.91","4573015","6749162949",
"2025-10-15","1450.98","1463","1445.08","1462","4278540","6233407482",
"2025-10-14","1429.99","1464","1429.99","1451.02","6667233","9639484605",
"2025-10-13","1415.7","1422.85","1415.12","1419.2","4606880","6533147458",
"2025-10-10","1437.6","1439.94","1427.5","1430","3600144","5157459262",
"2025-10-09","1436","1439.38","1420","1436.78","5491812","7845448947",
"2025-09-30","1460","1460.76","1440","1443.99","3936362","5687474876",
"2025-09-29","1439.38","1469.99","1435","1460.86","5368403","7798434586",
"2025-09-26","1441.18","1447.11","1428.01","1435","4512071","6480889597",
"2025-09-25","1442.83","1445.21","1436","1439","3386973","4873274661",
"2025-09-24","1434.07","1456.78","1434.07","1442","3074350","4443052872",
"2025-09-23","1450.5","1457.5","1440","1447.42","3866300","5588384388",
"2025-09-22","1465.09","1467.97","1450.01","1453.35","3494708","5085057536",
"2025-09-19","1467.99","1475.5","1457.01","1467.97","3263662","4784528851",
"2025-09-18","1492","1497.8","1463.5","1467.96","4972125","7347477479",
"2025-09-17","1499.99","1510.28","1490.01","1493","3033054","4534770634",
"2025-09-16","1515.1","1520.99","1496.21","1499.98","3271789","4928374478",
"2025-09-15","1515.87","1517.48","1501.5","1515.1","2582703","3901929718",
"2025-09-12","1526","1538.02","1510.53","1516","3372209","5132184935",
"2025-09-11","1522.01","1526.02","1508.5","1523.5","3723896","5642778456",
"2025-09-10","1506.66","1529.95","1496","1522.01","4966331","7541460049",
"2025-09-09","1505","1509.95","1493.42","1505","3574277","5366650005",
"2025-09-08","1483","1506.44","1477.5","1501.23","5138298","7682065696",
"2025-09-05","1471","1486.97","1464","1483","3738848","5519312163",
"2025-09-04","1472","1479.3","1460.47","1472.66","4774676","7017084750",
"2025-09-03","1491","1503.5","1466","1480.55","4504503","6656011145",
"2025-09-02","1478.66","1509","1478","1491.3","5668837","8470012816",
"2025-09-01","1482.2","1488","1465.7","1476.1","4512338","6658918555",
"2025-08-29","1453","1482.58","1452","1480","6225648","9159701454",
"2025-08-28","1447.97","1456.1","1438.77","1446.1","3928177","5683673273",
"2025-08-27","1481.88","1484.93","1448","1448","5600609","8184169113",
"2025-08-26","1490.32","1494.23","1480.01","1481.61","3960213","5883917000",
"2025-08-25","1470.01","1496","1466","1490.33","6532455","9676719498",
"2025-08-22","1448.88","1464","1444.77","1463.95","4497058","6544867368",
"2025-08-21","1453.45","1454.99","1443.65","1448.25","3089057","4470441662",
"2025-08-20","1438","1452.8","1430.02","1450","4580466","6623095725",
"2025-08-19","1433.5","1446.66","1432","1438","4637186","6678541001",
